,Neighborhood,Neighborhood Latitude,Neighborhood Longitude,Venue,Venue Latitude,Venue Longitude,Venue Category
172,Place Desjardins,45.507113700000005,-73.56362179999998,Happy Lamb Hot Pot,45.50765262783883,-73.56031568147485,Mongolian Restaurant
173,Place Desjardins,45.507113700000005,-73.56362179999998,Orange Rouge,45.50673553970188,-73.56057173376445,Asian Restaurant
174,Place Desjardins,45.507113700000005,-73.56362179999998,My Canh,45.50848310797975,-73.5607427339794,Vietnamese Restaurant
175,Place Desjardins,45.507113700000005,-73.56362179999998,Nouilles Lan Zhou,45.50783379826465,-73.55952418010092,Asian Restaurant
176,Place Desjardins,45.507113700000005,-73.56362179999998,Restaurant Beijing 京都飯店,45.506952929716405,-73.56087617374911,Chinese Restaurant
177,Place Desjardins,45.507113700000005,-73.56362179999998,Gauffre Mignonne,45.510332644909916,-73.56336969059335,Breakfast Spot
178,Place Desjardins,45.507113700000005,-73.56362179999998,Noodle Factory,45.50672277885549,-73.56048970101973,Asian Restaurant
179,Place Desjardins,45.507113700000005,-73.56362179999998,Miss Prêt à Manger,45.50475961823262,-73.56364812487229,Gastropub
180,Place Desjardins,45.507113700000005,-73.56362179999998,Bouillon Bilk,45.51084459749559,-73.56601685808441,Restaurant
181,Place Desjardins,45.507113700000005,-73.56362179999998,Pho Bang New York,45.507904,-73.559322,Vietnamese Restaurant
182,Place Desjardins,45.507113700000005,-73.56362179999998,Nudo,45.5082388386135,-73.56022507146864,Noodle House
183,Place Desjardins,45.507113700000005,-73.56362179999998,Café Parvis,45.505817,-73.569302,Café
184,Place Desjardins,45.507113700000005,-73.56362179999998,Lucky's Truck,45.50749659879096,-73.56832474310599,Food Truck
185,Place Desjardins,45.507113700000005,-73.56362179999998,Le Central,45.509643,-73.563764,Food Court
186,Place Desjardins,45.507113700000005,-73.56362179999998,Sésame,45.50691651580587,-73.56649048931801,Asian Restaurant
187,Place Desjardins,45.507113700000005,-73.56362179999998,Allô! Mon Coco,45.510681809314015,-73.5628469268423,Breakfast Spot
188,Place Desjardins,45.507113700000005,-73.56362179999998,La Maison Kim Fung 金豐酒家,45.507182389273254,-73.56137926044103,Dim Sum Restaurant
189,Place Desjardins,45.507113700000005,-73.56362179999998,Cachitos,45.51125549172629,-73.56254596669375,Bakery
190,Place Desjardins,45.507113700000005,-73.56362179999998,Eggspectation,45.507344302176435,-73.56599111068611,Breakfast Spot
191,Place Desjardins,45.507113700000005,-73.56362179999998,Restaurant Mon Nan,45.50821735761947,-73.55948891206448,Chinese Restaurant
192,Place Desjardins,45.507113700000005,-73.56362179999998,Sumo Ramen,45.50787595136375,-73.5595098672267,Noodle House
193,Place Desjardins,45.507113700000005,-73.56362179999998,Il Focolaio,45.504009,-73.568213,Pizza Place
194,Place Desjardins,45.507113700000005,-73.56362179999998,Restaurant Kanbai,45.50823388916097,-73.56152142298505,Asian Restaurant
195,Place Desjardins,45.507113700000005,-73.56362179999998,Chez Bong,45.50799204046633,-73.55976986142728,Korean Restaurant
